"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value","Flag and Footnotes"
"2003","Euro area (19 countries)","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Belgium","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Belgium","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over","16 954",""
"2003","Belgium","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Belgium","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","12 636",""
"2003","Belgium","Euro","Mean equivalised net income","Foreign country","Total","18 years or over","15 434",""
"2003","Belgium","Euro","Mean equivalised net income","Reporting country","Total","18 years or over","17 475",""
"2003","Belgium","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
